COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
73,3856.41,4087.18,4207.18,4405.13,4566.67,4675.38,4474.87,4426.67,4138.97,4486.15,4870.26,4488.21,4389.74,4608.21,1701,1694,6.055,0,0,0,0
74,3867.18,4092.82,4220.51,4407.69,4578.46,4671.28,4478.46,4435.38,4150.26,4508.21,4886.15,4504.1,4410.26,4622.05,1700,1694,6.063,0,0,0,0
75,3877.44,4101.54,4229.74,4412.82,4552.82,4671.79,4492.82,4451.79,4158.46,4529.74,4894.87,4516.41,4417.95,4637.44,1701,1693,6.071,0,0,0,0
76,3869.74,4094.87,4225.13,4410.26,4562.56,4677.44,4487.69,4445.64,4151.79,4517.44,4881.03,4509.23,4394.87,4625.13,1701,1693,6.078,0,0,0,0
77,3864.1,4091.79,4218.97,4408.72,4587.18,4690.26,4482.56,4436.41,4148.72,4514.87,4877.95,4507.18,4382.56,4613.33,1701,1694,6.086,0,0,0,0
78,3870.26,4097.95,4214.87,4411.28,4571.28,4689.74,4492.31,4447.69,4154.87,4523.08,4892.82,4516.92,4394.87,4624.62,1701,1693,6.094,0,0,0,0
79,3867.18,4097.95,4212.31,4409.23,4564.1,4666.67,4487.18,4450.26,4147.18,4511.28,4889.23,4516.41,4393.33,4627.18,1701,1694,6.102,0,0,0,0
80,3856.41,4087.18,4205.13,4405.64,4579.49,4663.59,4474.87,4434.36,4133.33,4500,4872.31,4503.59,4373.33,4606.67,1703,1693,6.11,0,0,0,0
81,3856.92,4081.54,4199.49,4406.15,4572.31,4688.72,4483.59,4433.85,4137.95,4503.59,4871.28,4498.97,4370.77,4599.49,1702,1694,6.118,0,0,0,0
82,3867.69,4092.31,4209.74,4409.74,4577.95,4687.69,4492.82,4453.85,4153.33,4512.82,4876.92,4506.15,4386.15,4618.46,1702,1693,6.125,0,0,0,0
83,3875.9,4106.15,4221.54,4415.38,4611.79,4667.18,4491.28,4461.03,4160.51,4521.03,4883.59,4510.77,4396.92,4632.82,1702,1692,6.133,0,0,0,0
84,3869.74,4100,4216.92,4416.41,4597.95,4685.13,4490.77,4447.18,4154.87,4517.95,4890.77,4510.26,4400,4626.15,1702,1693,6.141,0,0,0,0
85,3854.36,4080.51,4205.13,4407.69,4548.21,4707.69,4489.23,4436.92,4138.46,4503.59,4882.56,4505.64,4394.36,4613.85,1701,1693,6.148,0,0,0,0
86,3855.9,4085.13,4203.08,4404.62,4571.79,4687.69,4484.62,4441.03,4135.9,4504.1,4871.79,4502.05,4386.15,4613.33,1703,1693,6.157,0,0,0,0
87,3870.77,4102.56,4213.33,4410.77,4628.21,4672.31,4488.21,4447.18,4157.44,4524.1,4881.54,4507.69,4397.44,4627.18,1702,1693,6.164,0,0,0,0
88,3871.79,4098.46,4217.44,4410.77,4605.13,4692.31,4492.82,4445.13,4160.51,4527.18,4896.41,4513.85,4413.85,4634.36,1703,1695,6.172,0,0,0,0
89,3862.56,4085.64,4209.74,4406.15,4568.72,4700.51,4490.77,4440.51,4133.33,4512.31,4891.79,4508.21,4407.18,4626.67,1703,1694,6.18,0,0,0,0
90,3867.18,4091.28,4213.85,4409.74,4606.15,4681.54,4491.28,4441.54,4135.38,4510.77,4883.59,4506.15,4398.46,4626.67,1703,1695,6.188,0,0,0,0
91,3877.95,4106.67,4227.18,4412.31,4626.67,4674.87,4492.31,4449.23,4171.79,4527.18,4890.26,4516.92,4405.64,4635.9,1704,1694,6.196,0,0,0,0
92,3872.82,4097.44,4221.54,4406.15,4574.36,4685.13,4488.72,4450.77,4171.28,4529.74,4892.82,4514.87,4404.62,4631.79,1704,1694,6.204,0,0,0,0
93,3860,4077.95,4202.05,4403.59,4570.77,4692.31,4477.95,4434.36,4132.82,4509.74,4872.82,4492.31,4383.59,4614.87,1704,1694,6.211,0,0,0,0
94,3856.41,4081.54,4193.85,4409.74,4624.62,4689.74,4473.85,4426.15,4125.64,4501.03,4858.46,4481.54,4370.77,4607.69,1702,1693,6.219,0,0,0,0
95,3863.08,4094.36,4202.05,4414.87,4616.41,4678.97,4482.56,4444.62,4153.33,4509.23,4872.31,4490.77,4381.03,4615.38,1704,1692,6.227,0,0,0,0
96,3863.59,4089.23,4206.67,4410.26,4575.38,4677.95,4484.1,4448.72,4155.9,4511.28,4882.56,4494.36,4387.18,4618.46,1702,1692,6.235,0,0,0,0
97,3856.92,4079.49,4202.05,4405.64,4581.54,4686.67,4474.87,4427.18,4136.41,4504.62,4874.36,4487.69,4377.95,4612.31,1702,1694,6.243,0,0,0,0
98,3859.49,4087.69,4204.1,4409.74,4611.79,4684.62,4472.82,4424.1,4134.87,4506.67,4871.79,4491.28,4378.97,4611.79,1702,1693,6.251,0,0,0,0
99,3861.03,4093.33,4203.59,4411.79,4610.26,4676.92,4474.87,4434.36,4146.15,4507.69,4872.31,4497.44,4386.15,4611.79,1702,1694,6.258,0,0,0,0
100,3847.18,4082.05,4192.31,4405.64,4587.18,4684.62,4472.82,4422.05,4139.49,4490.77,4857.95,4485.64,4372.31,4600,1702,1693,6.266,0,0,0,0
101,3841.54,4071.28,4188.21,4404.1,4593.85,4691.28,4471.79,4414.87,4127.18,4487.18,4853.33,4477.44,4364.1,4593.33,1700,1694,6.274,0,0,0,0
102,3851.79,4078.46,4197.44,4409.23,4616.92,4689.74,4473.33,4430.77,4132.82,4506.15,4872.31,4489.23,4380.51,4601.54,1701,1693,6.282,0,0,0,0
103,3854.87,4086.15,4203.08,4408.72,4601.03,4695.9,4473.85,4434.36,4145.13,4512.31,4882.56,4493.85,4390.26,4608.21,1700,1693,6.29,0,0,0,0
104,3853.85,4082.56,4203.08,4404.62,4571.79,4696.41,4473.85,4428.72,4151.79,4507.69,4871.79,4490.77,4380,4611.28,1700,1694,6.297,0,0,0,0
105,3860.51,4085.64,4206.15,4409.23,4592.31,4683.59,4473.85,4437.95,4156.41,4521.54,4872.31,4503.08,4378.46,4616.92,1700,1693,6.304,0,0,0,0
106,3862.05,4092.82,4210.77,4415.38,4620,4682.05,4473.85,4441.54,4155.9,4531.79,4889.23,4510.26,4391.28,4622.56,1700,1693,6.312,0,0,0,0
107,3851.79,4087.69,4206.15,4409.23,4606.67,4691.79,4472.31,4428.72,4145.64,4514.87,4888.21,4494.36,4388.21,4615.38,1700,1692,6.321,0,0,0,0
108,3848.72,4077.95,4200,4404.1,4577.44,4696.41,4473.33,4426.67,4137.95,4505.13,4874.36,4484.62,4375.38,4604.1,1701,1691,6.329,0,0,0,0
109,3854.87,4083.59,4204.1,4408.72,4579.49,4695.9,4476.41,4432.31,4140,4511.79,4875.9,4495.38,4380.51,4608.21,1701,1690,6.336,0,0,0,0
110,3857.44,4092.82,4207.18,4414.36,4623.08,4687.69,4474.36,4430.26,4141.03,4509.23,4880.51,4506.15,4389.74,4610.77,1701,1692,6.344,0,0,0,0
